NazRudy ; 380665456478 
#воздухо воздуха подающий стол ствол stvol нарядная нарядное нарядные ;3469 
#воздухо воздуха подающий стол ствол stvol механик воздуха падающего подающего ствола стола стволах Колесников Виктор Иванович ;3469 
#воздухо воздуха подающий стол ствол stvol подъем подъём воздуха подающего падающего ствола стола плечевой клетевой ;3921 
#воздухо воздуха подающий стол ствол stvol дежурные дежурный слесаря слесарь калориферной калориферная калориферные калориферный ;3445 
#воздухо воздуха подающий стол ствол stvol рукоятка воздуха подающего падающего ствола стола ;3704 бит номер один 1 
#воздухо воздуха подающий стол ствол stvol стволовой воздуха подающего падающего ствола стола ;3725 бит номер одинадцать 11 
#воздухо воздуха подающий стол ствол stvol бадью бадья и подъем подъёмы подъём воздуха подающего падающего ствола стола ;3562 
#вентиляционный ствол вент винт vent вентиляционного ствола нарядная ;3566 
#вентиляционный ствол вент винт vent вентиляционного ствола механик волчок Александр Анатольевич ;3506 
#вентиляционный ствол вент винт vent клетевой подъем подъём ;3907 
#вентиляционный ствол вент винт vent насосная насосное насосные вентиляционного ствола стола ;3537 
#вентиляционный ствол вент винт vent рукоятка вентиляционного ствола стола ;3714 бит номер десять 10 
#вентиляционный ствол вент винт vent стволовой вентиляционного ствола стола ;3752 бит номер восемь 8 
#вентиляционный ствол вент винт vent подъём подъем номер два 2 ;3426 
#вентиляционный ствол вент винт vent слесаря вентиляционного ствола стола ;3647 
#вентиляционный ствол вент винт vent бадью бадья и подъем подъёмы подъём вентиляционного ствола стола ;3647 
#ПТК нарядная ptk ;3375 
#ПТК начальник ptk карачевская Наталья Генадьевна ;3385 короткий 33 
#ПТК ptk механик дсл dsla dssl ;3567 
#ПТК ptk порода выборка выбор к дсл dsla dssl ;3918 
#ПТК ptk скребковый конвеер 66 дсл dsla dssl Пересыпь ;3918 
#ПТК ptk отметка 22 Двадцать вторая дсл dsla dssl ;3918 
#ПТК ptk породный бункер пункт погрузки породы ;3917 
#ПТК ptk приемосдатчик вагонов приёмосдатчик вагонов ;3919
#ПТК ptk оператор погрузки в вагоны ;3379 
#ПТК ptk погрузка угля населению население населения ;3371 
#ПТК ptk перегрузочная станция ;3475 
#ПТК ptk Центральная центральная операторная пульт оператора приёма приема ;3924 
#ПТК ptk породная цепочка Парадная породные ;3928 
#ПТК ptk бункер породный конвейерной цепочки породная цепочка ;3928 
#ПТК ptk слесаря банки нулевая 0 отметка ;3427 
#ПТК ptk 31 тридцать первая отметка погрузочный бункер ;3438 
#ПТК ptk 48 сорок восьмая отметка бункер ;3480 
#ПТК ptk сброс породы в вагоны вагоне ;3785 
#ПТК ptk электрослесаря слесаря электро 24 отметка двадцать четвёртая четвертая ;3399 
#ПТК ptk погрузка вагонов ;3493 
#расчётный расчетный отдел общий телефон ;3352 3425 
#расчётный расчетный отдел начальник отдела сиротина Валентина Фёдоровна ;3312 
#финансовый финансовое отдел общий телефон ;3365 3477 
#финансовый финансовое отдел Трусова Елена Леонидовна ;3365 короткий 19 
#медпункт общий телефон ;3901 3303 
#медпункт заведующая заведующий медпунктом Садовская Ирина Вадимовна Владимировна ;3503 
#медпункт подземный подземные подземная ;3703 
#медпункт физкабинет физ кабинет ;3446 
#учебный пункт учпункт общий телефон ;3575
#горнотехнический инспектор inspector чёрный черный Юрий Валерьевич ;короткий 39 
#отдел Вот это Б общий телефон начальник смены по охране труда ;3369 3382 
#отдел Вот это Б руководство Шахты замдиректора зам директора по Володченко волощенко Евгений Викторович ;3322 короткий 12 
#шгс жгс ФГС общий телефон ;3305 
#шгс жгс ФГС электрослесаря ;3383 
#шгс жгс ФГС командир взвода Тимошенко Андрей Владимирович ;3383 короткий 18 
#шгс жгс ФГС горнотехнический инспектор inspector кабинет ;3595 
#шгс жгс ФГС радио телефон радиотелефон вгсч ;3702 
#служба охраны охрана начальник Федорчук Ростислав Михайлович ;3324 
#служба охраны охрана в АБК АПК ОПК 1 первый этаж ;3394 
#служба охраны охрана бюро пропусков ;3456 
#служба охраны охрана Центральная проходная ;3461 
#служба охраны охрана Лесная проходная Прохладная ;3568 
#служба охраны охрана проходная вентиляционного вент винт венд ствола ;3319 
#служба охраны охрана проходная воздуха подающего падающего ствола стола ;3397 
#котельная котельные котельной нарядная нарядное нарядные ;3530 
#котельная котельные начальник котельной селюков Сергей Алексеевич ;3570 короткий 31 
#котельная котельные котельной машинист ;3943 
#котельная котельные котельной Химическая химическая лаборатория ;3586 
#котельная котельные котельной оператор теплопункта теплового пункта ;3900 
#котельная котельные котельной угле угли подача ;3413 
#мехцех мехтех начальник Хохлов Виктор Анатольевич ;3302 
#мехцех мехтех Инструментальный интрументальный цех токарный ;3314 
#мехцех мехтех малая механизация цех малой механизации ;3364 
#мехцех мехтех цех цэх ;3483 
#орзо Мирзо rst.ua нарядная нарядное нарядные ;3392 
#орзо Мирзо rst.ua начальник козубов кузубов Евгений Викторович ;3392 короткий 45 
#орзо Мирзо rst.ua соловей Василий Владимирович ;короткий 72 
